timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715176696378,1715176696414,BINANCE,BNBUSDT,585.4,7.13,585.41,0.7,585.42,0.6,585.43,2.13,585.44,3.19,585.45,4.84,585.46,0.17,585.47,0.69,585.48,1.47,585.49,2.35,585.39,7.54,585.38,0.6,585.37,2.79,585.36,10.36,585.35,26.16,585.34,2.48,585.33,14.9,585.32,0.41,585.31,15.07,585.3,14.8
1715176696419,1715176696414,BINANCE,SOLUSDT,147.512,66,147.517,20,147.518,90,147.519,53,147.52,29,147.521,11,147.526,1,147.527,7,147.528,3,147.529,18,147.511,10,147.51,3,147.509,11,147.508,28,147.507,2,147.506,2,147.505,3,147.501,3,147.5,41,147.499,3
1715176696453,1715176696439,BINANCE,ETHUSDT,3029.88,92.596,3029.94,0.501,3029.95,66.789,3029.96,0.091,3029.98,0.256,3030,244.648,3030.01,0.104,3030.02,0.007,3030.03,0.027,3030.04,0.54,3029.87,18.726,3029.86,0.008,3029.83,0.049,3029.82,0.007,3029.8,0.009,3029.74,0.007,3029.68,0.014,3029.67,0.008,3029.66,0.007,3029.65,0.009
1715176696630,1715176696621,BINANCE,BNBUSDT,585.4,9.36,585.41,0.7,585.42,0.6,585.43,2.13,585.44,3.19,585.45,4.84,585.47,0.69,585.48,1.47,585.49,2.35,585.5,0.05,585.39,8.51,585.38,0.6,585.37,0.34,585.36,5.6,585.35,26.16,585.34,2.48,585.33,25.75,585.32,0.41,585.31,9.38,585.3,14.8
1715176696675,1715176696817,BINANCE,SOLUSDT,147.51,176,147.511,129,147.512,60,147.514,1,147.516,32,147.517,26,147.518,75,147.519,53,147.52,29,147.521,11,147.509,2,147.507,2,147.506,1,147.501,3,147.5,41,147.497,68,147.495,48,147.494,1,147.493,3,147.492,26
1715176696725,1715176696817,BINANCE,ETHUSDT,3029.88,36.338,3029.92,0.501,3029.93,0.256,3029.95,66.557,3030,244.573,3030.01,0.267,3030.02,0.007,3030.03,0.422,3030.04,0.54,3030.05,0.086,3029.87,19.099,3029.86,0.008,3029.8,0.009,3029.74,0.007,3029.72,9,3029.68,0.014,3029.67,0.008,3029.66,0.056,3029.65,0.009,3029.63,6.6
1715176696888,1715176696918,BINANCE,BNBUSDT,585.4,9.36,585.41,0.01,585.42,0.6,585.43,2.13,585.44,3.19,585.45,4.84,585.46,0.93,585.47,0.69,585.48,1.47,585.49,0.75,585.39,8.51,585.38,0.6,585.37,2.87,585.36,10.6,585.35,26.16,585.34,6.74,585.33,14.9,585.32,0.41,585.31,9.38,585.3,14.8
1715176696942,1715176696934,BINANCE,SOLUSDT,147.502,28,147.504,28,147.506,34,147.507,3,147.508,39,147.509,56,147.51,71,147.511,85,147.512,61,147.513,6,147.501,36,147.499,3,147.498,3,147.496,1,147.494,39,147.493,3,147.492,35,147.491,1,147.489,10,147.488,28
1715176696997,1715176696980,BINANCE,ETHUSDT,3029.88,12.293,3029.94,0.501,3029.95,64.497,3030,225.737,3030.01,0.104,3030.02,0.007,3030.03,0.422,3030.04,0.796,3030.05,0.037,3030.06,0.56,3029.87,47.839,3029.86,0.008,3029.8,0.009,3029.74,0.17,3029.73,2.109,3029.72,13.699,3029.67,0.008,3029.66,0.007,3029.65,1.495,3029.63,10.884
1715176697143,1715176697129,BINANCE,BNBUSDT,585.37,3.36,585.38,0.6,585.39,2.45,585.4,5.9,585.41,2.52,585.42,0.6,585.43,2.13,585.44,2.4,585.45,4.92,585.47,0.69,585.36,7.45,585.34,6.78,585.33,22.86,585.32,51.27,585.31,0.72,585.3,14.75,585.29,8.68,585.28,7.6,585.27,43.55,585.26,4.8
