timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715247432422,1715247432359205000,BINANCE,BNBUSDT,595.08,18.49,595.09,0.67,595.1,3.93,595.11,10.75,595.12,4.57,595.13,11.14,595.14,17.13,595.15,4.4,595.16,11.56,595.17,11.69,595.07,11.19,595.06,73.99,595.05,4.14,595.04,2.11,595.03,2.1,595.02,2.11,595.01,30.72,595,588.03,594.99,0.77,594.98,4.98
1715247432718,1715247432650661000,BINANCE,BNBUSDT,595.01,42.45,595.02,4.16,595.03,2.91,595.04,2.33,595.05,51.68,595.06,5,595.07,15.83,595.08,27.46,595.09,0.67,595.1,12.67,595,143.11,594.99,0.75,594.98,4.98,594.97,0.07,594.96,0.92,594.95,1.36,594.94,0.88,594.93,0.21,594.92,1.6,594.91,0.21
1715247432970,1715247432907550000,BINANCE,BNBUSDT,594.69,11.46,594.7,3.12,594.71,0.08,594.72,5.54,594.73,9.14,594.74,11.2,594.75,0.84,594.76,13.76,594.77,36.92,594.78,4.55,594.68,15.95,594.67,1.79,594.66,2.45,594.65,9.01,594.64,8.47,594.63,18.42,594.62,2.45,594.61,5.5,594.6,0.5,594.59,2.12
1715247433222,1715247433227511000,BINANCE,BNBUSDT,594.64,11.06,594.65,0.67,594.66,2.45,594.67,3.18,594.68,7.45,594.69,5.96,594.7,13.93,594.71,26.11,594.72,6.13,594.73,0.67,594.63,4.2,594.62,4.83,594.61,7.33,594.59,1.98,594.57,12.59,594.56,3.84,594.55,3.8,594.54,0.78,594.53,0.23,594.52,0.35
1715247433473,1715247433413762000,BINANCE,BNBUSDT,594.64,13.33,594.65,0.44,594.66,2.45,594.67,14.65,594.68,7.45,594.69,1.51,594.7,14.93,594.71,0.08,594.72,5.54,594.73,0.67,594.63,10.09,594.62,2.45,594.6,2.1,594.59,2.46,594.58,4.14,594.57,12.59,594.56,3.52,594.55,3.8,594.54,0.78,594.53,1.71
1715247433731,1715247433673625000,BINANCE,BNBUSDT,594.76,16.76,594.78,4.55,594.79,2.1,594.81,2.88,594.82,7.99,594.83,18.86,594.84,0.01,594.85,5.61,594.86,12.38,594.87,24.44,594.75,15.42,594.74,12.07,594.73,5.7,594.72,2.77,594.71,2.57,594.7,12.35,594.69,11.11,594.68,4.2,594.67,7.19,594.66,15.85
1715247434001,1715247433930971000,BINANCE,BNBUSDT,594.81,0.76,594.83,2.1,594.85,9.83,594.86,6.24,594.87,16.76,594.88,2.37,594.89,1.02,594.9,2.5,594.91,2.64,594.92,16.74,594.8,13.48,594.79,9.05,594.78,8.71,594.77,8.71,594.76,8.77,594.75,12.39,594.74,8.03,594.73,1.8,594.72,2.77,594.71,1.85
1715247434254,1715247434185865000,BINANCE,BNBUSDT,594.92,17.25,594.93,9.34,594.94,8.68,594.95,12.11,594.96,2.45,594.97,2.65,594.98,13.32,594.99,15.26,595,20.66,595.01,8.57,594.91,4.39,594.9,1.8,594.88,2.45,594.87,2.1,594.86,2.45,594.85,5.04,594.84,5.42,594.83,0.01,594.82,2.45,594.81,1.68
1715247434511,1715247434443278000,BINANCE,BNBUSDT,594.92,5.93,594.93,3.36,594.94,3.12,594.95,7.1,594.96,2.45,594.97,5.66,594.98,24.2,594.99,15.42,595,20.66,595.01,7.9,594.91,3.87,594.9,2.45,594.88,2.45,594.87,2.1,594.86,6.36,594.85,5.04,594.84,5.42,594.83,0.07,594.82,2.45,594.8,2.45
1715247434766,1715247434701459000,BINANCE,BNBUSDT,594.92,9.61,594.94,3.12,594.95,5.04,594.96,2.46,594.97,5.65,594.98,25.29,594.99,20.46,595,20.66,595.01,7.9,595.02,4.85,594.91,9.41,594.9,2.45,594.88,2.45,594.87,4.18,594.86,6.36,594.85,2.1,594.84,4.25,594.83,4.41,594.82,2.45,594.8,2.45
1715247435028,1715247434968185000,BINANCE,BNBUSDT,594.92,9.17,594.94,5.84,594.95,15.92,594.96,2.46,594.97,16.33,594.98,22.67,594.99,20.46,595,21.33,595.01,7.9,595.02,3.13,594.91,3.82,594.9,2.45,594.88,2.45,594.87,4.18,594.86,6.36,594.85,2.1,594.84,2.45,594.83,4.41,594.82,2.45,594.8,2.45
