timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715247432269,1715247432236125000,BINANCE,ETHUSDT,2963.49,51.416,2963.5,2.384,2963.51,0.673,2963.52,0.015,2963.55,0.673,2963.56,0.688,2963.57,0.01,2963.59,0.673,2963.6,0.015,2963.61,4,2963.48,46.83,2963.46,0.012,2963.45,0.069,2963.44,1.701,2963.43,0.107,2963.42,0.089,2963.4,0.157,2963.39,0.264,2963.38,0.048,2963.36,0.695
1715247432528,1715247432461241000,BINANCE,ETHUSDT,2963.51,23.242,2963.52,0.015,2963.55,0.673,2963.56,0.688,2963.59,0.673,2963.6,0.015,2963.62,2.024,2963.63,0.673,2963.64,0.065,2963.67,0.68,2963.5,45.886,2963.49,2.546,2963.48,19.8,2963.46,0.012,2963.45,0.069,2963.44,1.701,2963.43,0.124,2963.42,0.022,2963.4,0.157,2963.39,0.264
1715247432792,1715247432741063000,BINANCE,ETHUSDT,2963.01,56.241,2963.02,2.7,2963.04,0.688,2963.05,2,2963.08,0.688,2963.1,0.256,2963.11,1.988,2963.12,9.232,2963.15,0.333,2963.16,3.655,2963,26.694,2962.99,1.67,2962.96,0.025,2962.94,0.13,2962.93,7.577,2962.92,0.063,2962.91,0.031,2962.88,1.765,2962.87,0.051,2962.86,0.058
1715247433025,1715247433021849000,BINANCE,ETHUSDT,2963.3,29.45,2963.31,22.65,2963.32,13.849,2963.33,13.605,2963.34,13.462,2963.35,5,2963.36,6.746,2963.38,0.007,2963.4,0.015,2963.41,15.469,2963.26,9.582,2963.25,20.333,2963.24,20.332,2963.23,20.331,2963.22,20.33,2963.21,20.329,2963.2,20.328,2963.19,22.337,2963.18,16.336,2963.17,20.335
1715247433318,1715247433265822000,BINANCE,ETHUSDT,2963.12,18.114,2963.15,5.89,2963.16,0.768,2963.2,0.023,2963.21,0.014,2963.23,0.008,2963.24,1.361,2963.26,1.158,2963.27,0.59,2963.28,0.688,2963.11,10.988,2963.1,6.564,2963.09,3.733,2963.08,0.644,2963.07,6.545,2963.03,0.014,2963,1.526,2962.93,1.609,2962.91,2,2962.84,6.749
1715247433572,1715247433508014000,BINANCE,ETHUSDT,2963.11,19.854,2963.12,0.475,2963.15,5.89,2963.16,0.015,2963.2,0.015,2963.21,0.014,2963.24,1.361,2963.25,0.379,2963.26,0.263,2963.27,0.6,2963.1,32.972,2963.09,0.852,2963.07,2,2963.04,0.673,2963,2.199,2962.92,0.673,2962.91,2,2962.88,0.673,2962.85,1.938,2962.84,0.18
1715247433826,1715247433759521000,BINANCE,ETHUSDT,2963.57,1.062,2963.6,0.015,2963.61,0.1,2963.62,0.007,2963.64,0.605,2963.67,0.007,2963.68,0.015,2963.7,0.008,2963.71,0.01,2963.72,0.015,2963.56,47.658,2963.55,4,2963.52,0.673,2963.49,0.05,2963.48,0.673,2963.44,6.665,2963.42,0.452,2963.41,0.347,2963.4,7.152,2963.39,7.449
1715247434078,1715247434011543000,BINANCE,ETHUSDT,2963.73,46.07,2963.76,0.015,2963.8,0.015,2963.81,2.7,2963.84,0.688,2963.85,7.693,2963.88,1.668,2963.92,0.015,2963.94,2.699,2963.95,0.065,2963.72,19.191,2963.68,4,2963.67,0.087,2963.65,4.005,2963.64,0.673,2963.63,0.174,2963.6,2.385,2963.58,6.664,2963.57,0.06,2963.56,0.054
1715247434334,1715247434265494000,BINANCE,ETHUSDT,2963.96,4.567,2963.99,0.007,2964,0.204,2964.01,0.007,2964.02,1.073,2964.04,0.015,2964.08,4.715,2964.09,0.007,2964.1,2.802,2964.12,0.015,2963.95,69.112,2963.89,0.079,2963.88,0.673,2963.85,2.15,2963.84,0.753,2963.83,7.5,2963.8,1.526,2963.79,4,2963.78,3.787,2963.76,0.821
1715247434592,1715247434527324000,BINANCE,ETHUSDT,2964.08,15.132,2964.1,2.835,2964.12,0.688,2964.16,0.039,2964.17,0.007,2964.19,0.009,2964.2,1.361,2964.21,0.016,2964.22,18.431,2964.24,0.688,2964.07,49.847,2964.04,0.079,2964.02,2.018,2964.01,2,2964,2.199,2963.99,2.007,2963.98,6,2963.96,0.753,2963.95,8.838,2963.91,0.256
