timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715247432325,1715247432257011000,BINANCE,SOLUSDT,141.974,3,141.976,31,141.977,28,141.978,1,141.979,3,141.982,14,141.983,20,141.985,27,141.986,10,141.987,3,141.973,35,141.972,49,141.971,36,141.968,17,141.964,23,141.962,29,141.961,12,141.96,27,141.958,4,141.957,50
1715247432577,1715247432508397000,BINANCE,SOLUSDT,141.956,18,141.958,10,141.96,20,141.961,3,141.964,18,141.97,1,141.971,11,141.972,19,141.973,15,141.974,13,141.955,2,141.953,3,141.95,2,141.947,12,141.946,1,141.945,7,141.944,34,141.943,10,141.941,18,141.94,15
1715247432829,1715247432775308000,BINANCE,SOLUSDT,141.9,57,141.901,7,141.902,1,141.905,19,141.906,18,141.911,42,141.913,3,141.915,2,141.916,1,141.917,35,141.898,1,141.896,2,141.895,3,141.894,53,141.893,1,141.892,11,141.891,2,141.89,53,141.889,10,141.888,2167
1715247433085,1715247433022045000,BINANCE,SOLUSDT,141.907,4,141.914,11,141.916,17,141.917,17,141.918,17,141.919,17,141.921,12,141.922,2,141.923,2,141.926,1,141.905,19,141.904,18,141.891,14,141.89,67,141.889,198,141.888,670,141.887,57,141.886,5,141.885,26,141.884,18
1715247433337,1715247433284872000,BINANCE,SOLUSDT,141.908,1,141.921,3,141.922,4,141.925,3,141.928,72,141.929,25,141.93,122,141.931,43,141.932,22,141.933,23,141.907,102,141.906,60,141.905,26,141.904,1,141.9,10,141.899,2,141.898,5,141.897,10,141.896,2,141.895,7
1715247433589,1715247433539720000,BINANCE,SOLUSDT,141.951,54,141.952,1,141.956,1,141.957,11,141.958,11,141.959,8,141.96,5,141.961,12,141.962,7,141.964,3,141.95,57,141.949,95,141.948,60,141.947,77,141.946,46,141.945,4,141.944,16,141.943,3,141.942,3,141.941,2
1715247433841,1715247433772570000,BINANCE,SOLUSDT,141.956,144,141.957,35,141.958,1,141.959,15,141.96,5,141.961,8,141.962,7,141.964,29,141.967,3,141.968,3,141.955,5,141.954,3,141.952,3,141.949,7,141.948,15,141.947,65,141.946,21,141.944,18,141.943,3,141.942,3
1715247434099,1715247434038843000,BINANCE,SOLUSDT,141.93,28,141.938,13,141.944,10,141.945,63,141.946,21,141.948,16,141.949,11,141.95,1,141.952,3,141.953,10,141.929,78,141.928,4,141.927,20,141.926,69,141.925,24,141.924,56,141.92,31,141.919,28,141.918,18,141.917,1
1715247434348,1715247434286397000,BINANCE,SOLUSDT,141.95,1,141.952,74,141.953,26,141.955,44,141.956,5,141.957,35,141.958,1,141.959,3,141.96,5,141.961,8,141.949,40,141.947,18,141.946,3,141.945,18,141.944,28,141.93,1,141.929,9,141.925,17,141.924,20,141.92,12
1715247434603,1715247434544916000,BINANCE,SOLUSDT,141.938,19,141.939,28,141.94,17,141.944,1,141.946,29,141.948,28,141.949,37,141.95,3,141.952,17,141.953,1,141.937,18,141.935,17,141.934,23,141.932,24,141.931,18,141.93,36,141.929,18,141.919,1,141.915,23,141.914,1
1715247434866,1715247434793173000,BINANCE,SOLUSDT,141.936,84,141.938,77,141.94,17,141.944,3,141.946,1,141.947,19,141.948,28,141.949,37,141.95,3,141.951,2,141.935,16,141.934,20,141.932,24,141.931,18,141.93,18,141.929,18,141.919,1,141.915,23,141.914,1,141.912,26
1715247435121,1715247435049248000,BINANCE,SOLUSDT,141.936,34,141.937,1,141.938,28,141.94,17,141.944,18,141.946,1,141.947,17,141.948,28,141.949,37,141.95,2,141.935,40,141.934,20,141.932,21,141.931,18,141.93,18,141.929,18,141.928,3,141.922,3,141.919,1,141.915,23
1715247435390,1715247435320076000,BINANCE,SOLUSDT,141.956,40,141.957,35,141.959,3,141.96,5,141.961,8,141.962,34,141.963,59,141.964,13,141.965,3,141.966,4,141.955,42,141.952,3,141.95,24,141.949,20,141.948,21,141.947,18,141.946,26,141.943,10,141.94,3,141.939,18
1715247435643,1715247435570620000,BINANCE,SOLUSDT,141.95,85,141.952,23,141.954,20,141.955,33,141.956,36,141.957,35,141.96,8,141.961,13,141.962,34,141.963,59,141.949,13,141.948,20,141.947,18,141.946,16,141.94,3,141.937,2,141.936,45,141.935,59,141.934,4,141.929,4
1715247435888,1715247435821627000,BINANCE,SOLUSDT,141.947,37,141.948,16,141.949,22,141.95,6,141.952,19,141.954,17,141.955,30,141.956,35,141.957,35,141.958,1,141.946,21,141.94,3,141.937,2,141.936,45,141.935,54,141.934,4,141.929,4,141.928,3,141.925,11,141.924,4
1715247436154,1715247436092879000,BINANCE,SOLUSDT,141.903,1,141.904,20,141.905,15,141.908,16,141.91,1,141.912,19,141.913,3,141.914,24,141.915,2,141.916,20,141.902,1,141.901,44,141.9,50,141.898,1,141.895,1,141.892,2,141.891,13,141.89,100,141.889,2,141.888,662
1715247436406,1715247436341200000,BINANCE,SOLUSDT,141.907,3,141.912,25,141.914,28,141.915,18,141.916,11,141.918,13,141.919,3,141.92,1,141.922,15,141.924,13,141.906,48,141.905,14,141.904,3,141.903,21,141.902,1,141.901,1,141.9,50,141.898,1,141.895,1,141.893,1
1715247436652,1715247436586488000,BINANCE,SOLUSDT,141.91,36,141.912,14,141.913,14,141.914,23,141.915,18,141.916,4,141.918,13,141.919,3,141.92,17,141.922,16,141.909,22,141.905,1,141.904,16,141.902,1,141.901,22,141.9,50,141.898,8,141.895,5,141.891,13,141.89,14
1715247436924,1715247436860688000,BINANCE,SOLUSDT,141.91,25,141.912,11,141.913,11,141.914,18,141.915,18,141.916,1,141.918,13,141.919,3,141.92,1,141.922,13,141.909,114,141.908,16,141.905,1,141.904,19,141.902,1,141.901,22,141.9,50,141.898,8,141.895,5,141.891,13
1715247437205,1715247437141462000,BINANCE,SOLUSDT,141.932,24,141.933,8,141.934,3,141.937,5,141.94,16,141.942,19,141.943,44,141.944,3,141.946,3,141.947,3,141.931,47,141.93,5,141.929,42,141.928,19,141.927,35,141.926,2,141.925,3,141.924,77,141.923,43,141.922,1968
1715247437463,1715247437391253000,BINANCE,SOLUSDT,141.952,157,141.953,175,141.954,6,141.955,5,141.957,1,141.958,41,141.959,134,141.96,16,141.961,13,141.962,34,141.951,18,141.946,10,141.944,10,141.943,2,141.94,3,141.937,3,141.936,30,141.934,20,141.933,10,141.932,16
1715247437714,1715247437644883000,BINANCE,SOLUSDT,141.952,171,141.953,175,141.954,7,141.955,7,141.956,1,141.957,1,141.958,41,141.959,151,141.96,57,141.961,11,141.951,2,141.944,10,141.943,2,141.936,12,141.934,1,141.933,10,141.931,23,141.928,3,141.926,15,141.925,92
