timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715247432791,1715247432737401000,GATE,ETHUSDT,2963.55,19.33,2963.6,9.72,2963.75,2.69,2963.8,2.83,2963.85,7.21,2963.9,27.05,2963.95,19.77,2964,11.57,2964.05,1.63,2964.1,24.45,2963.5,19.13,2963.45,1.36,2963.4,8.37,2963.35,5.51,2963.3,10.22,2963.25,33.64,2963.2,17.64,2963.15,16.78,2963.1,11.66,2963.05,13.78
1715247432894,1715247432836191000,GATE,ETHUSDT,2963.55,19.61,2963.65,0.96,2963.75,3.81,2963.8,2.83,2963.85,7.26,2963.9,46.22,2963.95,14.27,2964,16.13,2964.05,0.67,2964.1,18.47,2963.5,35.88,2963.45,1.36,2963.4,8.37,2963.35,5.51,2963.3,6.58,2963.25,27.57,2963.2,17.64,2963.15,16.78,2963.1,11.52,2963.05,22.52
1715247432992,1715247432931362000,GATE,ETHUSDT,2963.55,3.87,2963.75,2.85,2963.8,4.73,2963.85,7.26,2963.9,46.22,2963.95,12.37,2964,14.93,2964.05,0.03,2964.1,18.61,2964.15,20.73,2963.5,45.08,2963.45,7.96,2963.4,8.37,2963.35,5.61,2963.3,6.61,2963.25,27.57,2963.2,17.64,2963.15,16.78,2963.1,11.52,2963.05,22.52
1715247433095,1715247433038216000,GATE,ETHUSDT,2963.55,17.2,2963.75,2.69,2963.8,4.73,2963.85,8.15,2963.9,16.01,2964,12.12,2964.05,3.05,2964.1,21.25,2964.15,16.88,2964.2,21.39,2963.5,40.75,2963.45,12.99,2963.4,8.38,2963.35,0.01,2963.3,0.03,2963.25,16.91,2963.2,5.51,2963.15,18.09,2963.1,11.52,2963.05,11.11
1715247433197,1715247433227712000,GATE,ETHUSDT,2963.95,53.06,2964.05,10.12,2964.1,10.69,2964.25,7.45,2964.3,5.12,2964.35,0.7,2964.4,5.56,2964.45,20.68,2964.5,2.51,2964.55,12.23,2963.9,1.2,2963.85,26.25,2963.8,4.11,2963.75,2.14,2963.55,15.79,2963.5,30.34,2963.45,1.36,2963.4,14.73,2963.35,5.54,2963.25,15.52
1715247433299,1715247433236613000,GATE,ETHUSDT,2963.75,0.1,2963.85,0.05,2963.9,13.16,2963.95,24.13,2964.05,8.06,2964.1,0.14,2964.15,17.69,2964.2,0.01,2964.3,10.73,2964.35,6.28,2963.7,47.5,2963.65,12.81,2963.55,16.59,2963.5,35.02,2963.45,1.36,2963.4,13.88,2963.35,0.01,2963.3,5.61,2963.25,27.44,2963.2,13.81
1715247433392,1715247433334816000,GATE,ETHUSDT,2963.95,1.88,2964.1,0.14,2964.15,11.98,2964.2,8.11,2964.25,9.72,2964.3,10.73,2964.35,6.28,2964.4,0.05,2964.45,16.84,2964.5,9.35,2963.9,94.66,2963.85,10.49,2963.8,32.94,2963.75,9.2,2963.7,16.96,2963.65,8.06,2963.55,17.27,2963.5,12.8,2963.45,6.97,2963.4,13.88
1715247433491,1715247433427039000,GATE,ETHUSDT,2963.95,7.6,2964.1,1.2,2964.15,13.91,2964.2,8.78,2964.25,9.72,2964.3,5.12,2964.35,14.01,2964.4,5.65,2964.45,16.74,2964.5,9.35,2963.9,88.16,2963.85,10.49,2963.75,3.03,2963.7,10.39,2963.65,7.06,2963.55,13.42,2963.5,20.36,2963.45,12.58,2963.4,13.91,2963.35,5.62
1715247433599,1715247433545516000,GATE,ETHUSDT,2963.95,9.19,2964.1,0.19,2964.15,13.91,2964.2,0.01,2964.25,9.72,2964.3,5.12,2964.35,13.34,2964.4,0.1,2964.45,16.74,2964.5,8.68,2963.9,99.16,2963.85,10.49,2963.75,5.6,2963.7,5.5,2963.65,4.92,2963.6,5.5,2963.55,13.42,2963.5,20.36,2963.45,12.58,2963.4,13.91
1715247433691,1715247433636580000,GATE,ETHUSDT,2964.1,0.69,2964.15,0.03,2964.2,0.01,2964.3,5.12,2964.35,15.83,2964.4,0.51,2964.45,20.84,2964.5,12.89,2964.55,7.23,2964.6,19.77,2964.05,80.02,2963.95,0.01,2963.9,23.25,2963.85,10.49,2963.75,8.9,2963.7,5.61,2963.65,10.17,2963.6,5.5,2963.55,13.42,2963.5,25.4
