timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715247432760,1715247432710130000,GATE,SOLUSDT,141.914,1,141.92,69,141.925,5,141.926,1,141.93,4,141.931,25,141.932,44,141.933,27,141.937,3,141.941,6,141.902,3,141.901,3,141.88,14,141.879,8,141.87,8,141.865,3,141.862,14,141.859,2,141.858,3,141.852,2
1715247432881,1715247432818845000,GATE,SOLUSDT,141.902,28,141.905,11,141.913,17,141.917,4,141.919,3,141.921,15,141.925,4,141.926,5,141.929,4,141.93,4,141.901,3,141.893,11,141.892,14,141.87,8,141.868,15,141.865,3,141.863,17,141.862,14,141.859,2,141.858,3
1715247432964,1715247432900630000,GATE,SOLUSDT,141.902,28,141.905,11,141.917,4,141.919,3,141.924,14,141.925,4,141.926,4,141.929,4,141.931,15,141.932,40,141.901,3,141.893,3,141.892,14,141.885,10,141.884,15,141.873,4,141.87,8,141.869,15,141.868,15,141.865,3
1715247433074,1715247433021995000,GATE,SOLUSDT,141.913,11,141.916,1,141.925,3,141.928,1,141.929,4,141.932,25,141.933,11,141.935,14,141.936,36,141.937,3,141.912,10,141.906,3,141.905,1,141.901,3,141.898,16,141.885,15,141.884,15,141.875,14,141.865,3,141.859,2
1715247433157,1715247433227535000,GATE,SOLUSDT,141.932,10,141.94,1,141.952,11,141.953,15,141.954,28,141.959,11,141.96,1,141.961,3,141.962,11,141.963,2,141.928,4,141.927,20,141.926,8,141.925,3,141.915,16,141.914,18,141.913,7,141.908,10,141.907,14,141.905,14
1715247433271,1715247433227795000,GATE,SOLUSDT,141.891,3,141.892,1,141.913,15,141.918,8,141.922,83,141.925,64,141.926,4,141.927,1,141.928,18,141.931,26,141.861,13,141.86,21,141.859,13,141.849,20,141.848,4,141.835,15,141.834,5,141.832,4,141.827,11,141.826,11
1715247433365,1715247433303888000,GATE,SOLUSDT,141.911,4,141.912,3,141.92,11,141.921,1,141.927,1,141.928,11,141.93,7,141.931,1,141.932,10,141.936,27,141.877,7,141.874,11,141.873,11,141.868,4,141.867,4,141.866,11,141.865,3,141.862,13,141.86,30,141.85,11
1715247433460,1715247433398720000,GATE,SOLUSDT,141.923,4,141.927,3,141.928,11,141.93,7,141.932,10,141.935,2,141.937,3,141.94,11,141.945,1,141.947,4,141.891,4,141.89,3,141.889,3,141.886,29,141.885,22,141.884,11,141.879,15,141.878,25,141.877,3,141.87,8
1715247433568,1715247433506269000,GATE,SOLUSDT,141.93,7,141.932,10,141.935,1,141.94,11,141.947,1,141.949,3,141.95,1,141.952,11,141.953,15,141.958,69,141.903,11,141.902,4,141.901,3,141.899,30,141.898,26,141.895,4,141.892,13,141.889,3,141.886,14,141.885,15
1715247433669,1715247433615201000,GATE,SOLUSDT,141.946,1,141.947,4,141.953,11,141.96,2,141.962,11,141.965,69,141.969,11,141.97,1,141.973,3,141.975,1,141.945,4,141.944,10,141.94,3,141.937,3,141.915,11,141.914,16,141.913,3,141.91,2,141.909,4,141.902,4
