timestamp,local_timestamp,exchange,symbol,ask_1_price,ask_1_qty,ask_2_price,ask_2_qty,ask_3_price,ask_3_qty,ask_4_price,ask_4_qty,ask_5_price,ask_5_qty,ask_6_price,ask_6_qty,ask_7_price,ask_7_qty,ask_8_price,ask_8_qty,ask_9_price,ask_9_qty,ask_10_price,ask_10_qty,bid_1_price,bid_1_qty,bid_2_price,bid_2_qty,bid_3_price,bid_3_qty,bid_4_price,bid_4_qty,bid_5_price,bid_5_qty,bid_6_price,bid_6_qty,bid_7_price,bid_7_qty,bid_8_price,bid_8_qty,bid_9_price,bid_9_qty,bid_10_price,bid_10_qty
1715176700556,1715176700564,GATE,BNBUSDT,586,0.579,586.05,3.642,586.1,7.107,586.15,13.638,586.2,17.071,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,23.1,585.95,16.5,585.9,14.222,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,16.576,585.55,14.09,585.5,21.036
1715176700556,1715176700591,GATE,SOLUSDT,147.577,1,147.578,3,147.579,17,147.58,16,147.581,1,147.586,13,147.593,11,147.597,8,147.598,18,147.599,10,147.569,16,147.561,16,147.556,3,147.552,3,147.551,4,147.541,14,147.54,3,147.537,4,147.536,7,147.535,11
1715176700595,1715176700604,GATE,ETHUSDT,3031.25,6.59,3031.45,5.55,3031.5,78.27,3031.55,11.88,3031.6,11.1,3031.75,6.82,3031.8,16.88,3031.85,0.66,3031.9,0.4,3031.95,9.08,3031.2,0.01,3031.15,11.37,3031.1,6.29,3031.05,17.41,3031,1.76,3030.95,4.21,3030.85,5.53,3030.8,4.21,3030.7,4.18,3030.65,21.53
1715176700662,1715176700675,GATE,BNBUSDT,586,7.006,586.05,6.31,586.1,4.65,586.15,13.638,586.2,17.071,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,23.1,585.95,2.835,585.9,14.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,16.576,585.55,14.09,585.5,21.036
1715176700675,1715176700685,GATE,SOLUSDT,147.562,2,147.567,3,147.568,18,147.576,3,147.577,11,147.578,12,147.58,16,147.584,10,147.585,11,147.586,13,147.561,16,147.542,4,147.54,3,147.537,4,147.527,2,147.524,5,147.523,1,147.522,3,147.519,15,147.518,11
1715176700699,1715176700698,GATE,ETHUSDT,3031.2,94.46,3031.25,10.65,3031.4,7.2,3031.45,15.76,3031.5,12.06,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.14,3031.85,0.66,3031.15,11.37,3031,0.36,3030.9,20.07,3030.85,5.5,3030.8,4.75,3030.7,5.43,3030.65,21.53,3030.6,12.67,3030.5,6.07,3030.45,5.5
1715176700750,1715176700767,GATE,BNBUSDT,586,5.389,586.05,6.31,586.1,4.65,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,23.1,585.95,2.835,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176700762,1715176700768,GATE,SOLUSDT,147.562,4,147.566,2,147.567,16,147.568,12,147.575,9,147.576,3,147.577,11,147.578,12,147.58,16,147.585,11,147.561,16,147.54,3,147.537,4,147.527,2,147.524,3,147.523,1,147.522,3,147.519,15,147.518,11,147.515,8
1715176700795,1715176700792,GATE,ETHUSDT,3031.2,71.37,3031.25,10.49,3031.4,16.69,3031.45,15.78,3031.5,12.04,3031.55,14.6,3031.6,11.09,3031.75,3.73,3031.8,13.14,3031.85,0.66,3031.15,6.32,3031,0.5,3030.95,1.4,3030.9,20.07,3030.85,5.5,3030.8,4.75,3030.7,5.48,3030.65,21.53,3030.6,17.64,3030.55,0.1
1715176700865,1715176700866,GATE,BNBUSDT,586,5.389,586.05,6.31,586.1,9.15,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,23.1,585.95,10.585,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176700861,1715176700870,GATE,SOLUSDT,147.562,2,147.566,2,147.567,16,147.568,12,147.575,9,147.576,3,147.577,11,147.578,12,147.58,16,147.585,11,147.561,16,147.54,3,147.537,4,147.527,2,147.524,7,147.523,1,147.522,3,147.519,15,147.518,11,147.515,8
1715176700888,1715176700887,GATE,ETHUSDT,3031.2,76.65,3031.25,10.49,3031.4,16.69,3031.45,15.78,3031.5,12.04,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.16,3031.85,0.66,3031.15,15.49,3031,0.51,3030.95,1.4,3030.9,20.07,3030.85,5.5,3030.8,4.75,3030.7,5.48,3030.65,21.53,3030.6,17.64,3030.55,0.1
1715176700872,1715176700964,GATE,BNBUSDT,586,6.009,586.05,10.522,586.1,9.15,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,23.1,585.95,10.585,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176700970,1715176700968,GATE,SOLUSDT,147.562,2,147.566,2,147.567,16,147.568,12,147.575,9,147.576,3,147.577,11,147.578,12,147.58,16,147.585,11,147.561,16,147.54,3,147.537,4,147.527,2,147.524,7,147.523,1,147.522,3,147.519,15,147.518,11,147.517,2
1715176700993,1715176700989,GATE,ETHUSDT,3031.2,76.65,3031.25,10.49,3031.4,13.41,3031.45,10.28,3031.5,12.04,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.16,3031.85,0.66,3031.15,23.4,3031,0.51,3030.95,1.4,3030.9,12.15,3030.85,5.5,3030.8,4.75,3030.7,5.48,3030.65,21.53,3030.6,17.64,3030.55,0.1
1715176701063,1715176701058,GATE,BNBUSDT,586,4.782,586.05,6.304,586.1,4.65,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,35.04,585.95,10.585,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176701073,1715176701067,GATE,SOLUSDT,147.562,2,147.567,1,147.568,1,147.575,9,147.576,3,147.577,11,147.578,12,147.58,16,147.585,11,147.586,13,147.561,16,147.556,3,147.54,3,147.537,4,147.532,17,147.529,11,147.527,2,147.524,9,147.523,1,147.522,3
1715176701072,1715176701091,GATE,ETHUSDT,3031.2,62.1,3031.25,3.29,3031.4,1.9,3031.45,3.08,3031.5,6.54,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.6,3031.85,0.66,3031.15,46.09,3031.05,1.13,3031,0.61,3030.95,1.4,3030.9,2.65,3030.85,5.5,3030.8,11.25,3030.7,4.23,3030.65,30.07,3030.6,11.35
1715176701122,1715176701155,GATE,BNBUSDT,586,5.153,586.05,6.31,586.1,4.65,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,35.04,585.95,10.585,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176701169,1715176701171,GATE,SOLUSDT,147.562,2,147.567,1,147.568,1,147.574,2,147.575,9,147.576,3,147.578,12,147.58,16,147.585,11,147.586,13,147.561,16,147.556,3,147.54,3,147.537,4,147.532,17,147.529,11,147.527,2,147.524,9,147.523,1,147.522,3
1715176701191,1715176701189,GATE,ETHUSDT,3031.2,62.1,3031.25,3.29,3031.4,1.9,3031.45,3.08,3031.5,6.54,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.62,3031.85,0.66,3031.15,46.09,3031.05,1.13,3031,0.51,3030.95,0.1,3030.9,2.68,3030.85,5.5,3030.8,11.25,3030.7,4.23,3030.65,30.07,3030.6,11.35
1715176701229,1715176701250,GATE,SOLUSDT,147.562,2,147.567,1,147.568,1,147.574,2,147.575,9,147.576,2,147.578,12,147.58,16,147.585,11,147.586,13,147.561,16,147.556,3,147.54,3,147.537,4,147.532,17,147.529,11,147.527,2,147.524,9,147.523,1,147.522,3
1715176701293,1715176701284,GATE,ETHUSDT,3031.2,62.1,3031.25,3.29,3031.4,1.9,3031.45,3.08,3031.5,6.6,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.6,3031.85,0.66,3031.15,46.11,3031.05,1.13,3031,0.51,3030.9,2.78,3030.85,5.5,3030.8,11.25,3030.7,4.23,3030.65,30.07,3030.6,11.35,3030.5,10.13
1715176701328,1715176701354,GATE,BNBUSDT,586,4.782,586.05,6.31,586.1,4.65,586.15,13.638,586.2,20.321,586.25,9.455,586.3,6.594,586.35,12.105,586.4,15.598,586.45,35.04,585.95,10.585,585.9,12.897,585.85,6.882,585.8,8.804,585.75,16.45,585.7,12.685,585.65,10.712,585.6,9.745,585.55,14.09,585.5,27.869
1715176701367,1715176701369,GATE,SOLUSDT,147.562,2,147.567,1,147.568,1,147.574,2,147.575,9,147.576,2,147.578,12,147.58,16,147.585,11,147.586,13,147.561,16,147.556,3,147.54,3,147.537,4,147.532,17,147.529,11,147.527,2,147.524,9,147.523,1,147.522,3
1715176701384,1715176701384,GATE,ETHUSDT,3031.2,62.1,3031.25,3.29,3031.4,1.9,3031.45,3.08,3031.5,6.6,3031.55,14.6,3031.6,11.1,3031.75,3.73,3031.8,13.6,3031.85,0.66,3031.15,46.11,3031.05,1.13,3031,0.51,3030.9,4.18,3030.85,5.5,3030.8,11.91,3030.7,4.23,3030.65,30.07,3030.6,11.35,3030.5,10.13
